,id,tweet,subtask_a,subtask_b,subtask_c
52,48553,  no conflict heredont look this soros involved violent left agenda antifa also,NOT,,
53,75689,    announcements every come fruition basically stealing labours ideas get votes,NOT,,
54,84102,  british people basically fullon racists   voters vote conservatives coincidence,OFF,TIN,GRP
55,10607,guncontrol advocates must stop falling assure electorate love horrific a ,NOT,,
56,43913,  hi there we love huge fan camila mendes are would alright used tweet promotional material,NOT,,
57,98992, fuck,OFF,TIN,IND
58,92056, certainly weird view toward margaret sanger geonicidal philosophy aborting minorities id like know black population suffers shares opinion,NOT,,
59,33853,  the prison system fucked why still getting away potentially murder intent prisoners die hurricane they louisiana like  inmates went missing,OFF,TIN,OTH
60,75215,  she useless attempts right thing never follows through,OFF,TIN,IND
61,96218,walkaway liberalsyour party poison ,NOT,,
62,57013, grateful trump doesnt dog white house he cruel man,OFF,TIN,IND
63,20883, you lying stick facts we pay now,NOT,,
64,74831, trump kicks dem butt  fun,OFF,TIN,IND
65,53264,   he dumb dumber one president its two one,OFF,TIN,IND
66,28204,toxictory minister  attempted expense  charity donation its  do  toriesmustgo dissolvetheunion ,NOT,,
67,42024, ur straight forword man saw u dance dewwane ur talk free ky ap kitnay porrany ho industry mein really like ur quality u even gather ur senior artist love manmarziyaan ,NOT,,
68,84664, and clown prison,OFF,TIN,IND
69,54842,    twitter silence alex jones retaliation asking twitter jack questions     ,NOT,,
70,48995, thats old man,OFF,TIN,IND
71,47153,   they obstructionists antiamerican pharisees ask running get nothing maga,OFF,TIN,OTH
72,76826,  no notyoure  represent alinskyite orwellian leftist toolampfool view thingslike  marxistsampantifa similar upsst and bu use words fascist fascism go ahead amp read dsouzas book the big lieright u know squat either,NOT,,
73,27645, i remember  but somehow centrist antifahaters never quite seem bring condemn things,NOT,,
74,64429, i mean worked gun control right ,OFF,TIN,GRP
75,20943, i think last thing wh trumps mind april ryan she needs stop flattering herself shes important thinks is,NOT,,
76,78064, principled conservatives hypocrickets,NOT,,
77,14122,             dont forget  amp democrat backed antifa,NOT,,
78,72353, she beautiful person teach values kids teaching royalty keep keep going heads stay real ,NOT,,
79,39051, bring antifa criminal son campaign,NOT,,
80,54546,  i didnt watch watch  watching september th stories came together stood shoulder shoulder made proud even issues yet people playing damn game cannot stand momentprotest saturday,NOT,,
81,50759,a tear made  water  feelings,NOT,,
82,75992,  trump addresses gun control representing nra i let down says ,NOT,,
83,45068, she drinking much koolaid shes bloated,OFF,TIN,IND
84,17259, holder needs prosecuted,NOT,,
85,95225, but but both players were women and both were women of color,NOT,,
86,84667,    the institution let tweet behaves she window licker,OFF,TIN,IND
87,14574,babysitting  kids peoplehow old think is she three kids medont get mad dont get mad dont know dont know,NOT,,
88,23784, well ,NOT,,
89,93119,wtc this threat  maga qanon wakeupamerica ,OFF,TIN,IND
90,30115, its easily digestible content theres need nuance even understand story they show picture antifa get base level emotional response content requires order profitable,NOT,,
91,69281,  try looking plain old democrats the liberals ones cant conversation with,NOT,,
92,15322, great news old moonbeam just went coma ,NOT,,
93,75089, omg he is so extra ily,NOT,,
94,21379,   please call trump isa narcissistic sociopath,OFF,TIN,IND
95,43133,  unfortunately america system like would called racist liberals believe exams racist minority groups,NOT,,
96,52102, i know she still alivebut wondering career railroaded odd loved herespecially day,NOT,,
97,59537,  guy always presentbet why lol,NOT,,
98,44209,  baby ,NOT,,
99,96664, persuasive fam,NOT,,
100,12559, thats nothing new she was going to vote no anywaywe will vote no to liberals in november ,NOT,,
101,61914, burt a cool dude,NOT,,
102,32317,maga if you are all in for trump follow me and i will follow back,NOT,,
103,94767, thank u im finally point im okay using heat im happy,NOT,,
104,64835, kind like trump time huh,NOT,,
105,41353, because former antifa white house arrest citizen arrest someone explain me,NOT,,
106,52252, fuck em,OFF,TIN,GRP
107,91001, good movehe big loser,OFF,TIN,IND
108,18495, lets get bottom this dm zipcode ill check out we back make sure enjoying best tv offer asap nevinbruce,NOT,,
109,76680,    for record i know doug jones personally sen bc credible choice he wont next election,NOT,,
110,88013, the presidents feelings totally opposite cnns feelings so say cnn theyre liberals,NOT,,
111,66349, literally narrative par nazis punch antifa punch two sides coin noooooooo one groups wants exterminate deport poc jews wants prevent that comparison benefits fash,OFF,UNT,
112,80561,  there many dumb arguments gun control may dumbest common,OFF,TIN,IND
113,16052, idk whats going,NOT,,
114,49996,  yall need chill really abysmal nd half rizzo abysmal st half its baseball happens does things still needs work yes has power numbers dropped yes could bounce back anytime ,NOT,,
115,77086, dude old lmao ps go pack go,NOT,,
116,10972,                                                  thats trump supporters cant even wear hat without abused if meet animals left attack them antifa branch communistsocialistnazis democrat party,NOT,,
117,69160, the laughs ive gotten enough ,NOT,,
118,28380,   well,NOT,,
119,40252,   first all dont even pizza panera,NOT,,
120,39907,   please kill me antifa hand,OFF,TIN,IND
121,16164, did see shanahan say spoon  healthy game obviously excuses youre but maybe its all doom sort thing seemed game maybe still pretty good,NOT,,
122,52824, good girl ,NOT,,
123,77294,  she ugly black hearted troll ,OFF,TIN,IND
124,13420,   you clearly pokemon master i almost  rare candy alone over  legacy moveset pokemon it depends like keep collection pieces value game,NOT,,
125,16940, dont believe hype,OFF,UNT,
126,83816,             followed new  maga please follow back,NOT,,
127,99156,protests reported sunderland except football fan one flag says westbrom it getting worse even i type maga mega mbga mcga conservatives patriots muslims farleft leftists doomed lose realises it civilwar soon ,NOT,,
128,11255, liberals would still vote him theyll claim comments taken context still man integrity,NOT,,
129,28841,  we saved you maga,OFF,TIN,IND
130,79060, you bringing honor decency with yoyo picture thats rich,NOT,,
131,71682, good riddance,NOT,,
132,17577, she goddess,NOT,,
133,27503, omg xd the worst or best case best cuase made laught part asking dead hurts poor thing rest standin like nope suffering so dead yeah pretty dead,NOT,,
134,59998, you probably imagine sjw snowflakes feel safe working might conservatives lurking shadows conservatives ruskies st century,OFF,TIN,IND
135,81119,  i see may light yourself even last election conservatives a split coming tory partyvery soon,NOT,,
136,28812, this i get  damn haters deleting ig reason ,OFF,TIN,GRP
137,84131, do think canadian liberals actually blame trudeau costs this or per standard push us,NOT,,
138,23179, you warned everyone josh gordon last  months daily basis im sure shocked i transpired today,NOT,,
139,28601,   why cant liberals read read again ,NOT,,
140,64776, sjshsj thats my job bitch,OFF,TIN,IND
141,95712, do discuss haiti,NOT,,
142,69972,   what part no collusion get this dumocrat,OFF,TIN,IND
143,37115, he skilled,NOT,,
144,80696, you amazing ,NOT,,
145,68163, fist pump troops,NOT,,
146,96789, reason farakans illegal values black muslim would reason detest him i believe illegal values simply result bad character like supporters,OFF,TIN,GRP
147,68629, let leftist democrats riot streets antifa counterparts,OFF,TIN,IND
148,66109, i thought canada strict gun control help understand happening,NOT,,
149,19419, they dont want following people dont like conservatives sickening biased twitters management is twitterleftbias,NOT,,
150,32942, he life tho,NOT,,
151,74285, its so very important midterms get word democrats want people color believe support  know so false how word spread even need know maga naacp,NOT,,
152,77319,  antifa giving death threats professor ford threatening violence candidate loses spanky impeached,OFF,TIN,IND
153,30517,   have seen listened antifa pals,NOT,,
154,69077,  in case antifa take little bat something good you kind thing,NOT,,
155,67758, your titles scare little bit ,NOT,,
156,35944, gteradicating hiv malaria middle africa good bloody luck,NOT,,
157,48223,  the interaction tory volunteers fcp volunteers i witnessed today one demanding float moved back parade ableg cdnpoli,NOT,,
158,47168, and seems getting things done,NOT,,
159,53947,i added video  playlist  combat mon frere vs ismael et maga assassin vs david le boxer yfc ,NOT,,
160,49504, so law changedyou make allegation days guilty proven innocent liberals mentally ill,OFF,TIN,GRP
161,66291, straight different thank joe biden one i also wonder outcome name antifa hill,NOT,,
162,31229, this game sucks donkey balls,OFF,TIN,GRP
163,75850, yo real gorgeous,NOT,,
164,88546, absolutely nail coffin hilliary,OFF,TIN,IND
165,29241,  i hope gets twitter i tell amazing is ,NOT,,
166,19842, who they gun control tried proven failure this people dont vote democrat they refuse admit reality gun control doesnt work,NOT,,
167,69232, so overwhelming liberals populated states make policy rest america clue about just california biggest population mean us shares values get clue hillary,NOT,,
168,36471,  doesnt partly fund antifa,NOT,,
169,32897, he dumbass ,OFF,TIN,IND
170,62072,           and levistrauss wanting gun control how many us wonder heck want freedoms taken away  selective freedoms ,OFF,TIN,GRP
171,95444, at point time i think pres trump gives sht neither i lol ,OFF,TIN,IND
172,51172,  ok conservatives get polls vote red,NOT,,
173,62481, donnie jr family owe country apology taking criminal activities our white house you lining pockets father unfit making mockery republic shame family justice prevail,OFF,TIN,IND
174,71895,a harvardharris poll conducted year found  percent black americans said would like see one  legal immigrants brought us year  maga tcot,NOT,,
175,78366, any doubt  officially become the national socialist american workers party gone with ppl like   acting der sturmer antifa einsatzgruppenwaffen ss detachment,NOT,,
176,39021, oh carmen he so fricking cute,OFF,TIN,IND
177,68840, chelsea crazy mother,OFF,TIN,IND
178,96837, its time conservatives binnedboris sent lyin lynton back australia,NOT,,
179,51815,   the  manifesto promised vote back so it you think brexit would gone brits eu allowed vote the referendum gerrymandered,NOT,,
180,62023, the metoo movement must be an extension of antifa and is a complete joke if this movement wasnt selective joe biden would be in court for fonding girls on camera ,NOT,,
181,10253,  awesome thank you you give humanity hope,NOT,,
182,21367, goober,NOT,,
183,33797, another uninformed,NOT,,
184,11160, i forgot foster child,NOT,,
185,32916, and brainless dems wants us believe majority liberals like leaders corrupts obama crookedhillary real bad losers maga trump,OFF,TIN,GRP
186,47427, no fucking way said this,NOT,,
187,87052,  such supposedly smart people think one moment audience people voted trump scared shitless hearing top brass speak way,NOT,,
188,29556, im surprised it takes sick woman make type accusations the kind find far left liberals praying really weak members gop like collins flake pull back support,NOT,,
189,18547,  california gun control direct result white people scared black panthers using right bear arms nra problem gun control,OFF,TIN,GRP
190,32688,          oct  brazil citizens overwhelming voted no government implementing strict gun control factor  and brazilian government still violates referendum everyday brazilians murdered wzero effective method self defense,NOT,,
191,57850,if claim without sin deceive truth us if confess sins faithful forgive us sins purify us unrighteousness  john ,NOT,,
192,82607,  and yet millions permit holding people carried legally concealed firearms day didnt hurt anyone else but yet want stronger gun control idiots  our wonderful media hype incidents fits agenda,OFF,TIN,GRP
193,82339, yes hurt selves gun control freaks,OFF,TIN,GRP
194,98077,     you get like guy every hysterical tweet ,NOT,,
195,62815, he always shows dedication wonder best ,NOT,,
196,34510,   bullshit regulations good keeps conservatives striping land abyss,OFF,TIN,GRP
197,53501, owner culo,OFF,TIN,IND
198,69928,now scarred life lol maga ,OFF,TIN,IND
199,31853, fucking ,OFF,TIN,IND
200,13872,confirm man the left wing activist is a liar whos story changes no hard evidence christineblaseyford innocent proven guilty confirmkavanaugh maga  weakrinos republicans,OFF,TIN,GRP
201,30791, reagan also signed first gun control bill governor ca,NOT,,
202,80385, awe hogwash really need overstate obvious,NOT,,
203,54292, years judge extensive backgroundsnot peeplink trumpboom do conservatives rape liberals ,NOT,,
204,28985,im assuming im not going get answer brainless liberal stooge ocasiocortez  t policy plan  wakeupamerica this not americas future vote republican surrender america dem morons  maga,OFF,TIN,OTH
205,52375, this man seriously needs mental health treatment firearms confiscated longer danger others  im waiting gun control advocates add list school shootings  who buys  caliber handguns why ,NOT,,
206,74004,  leftists showing yet vile,OFF,TIN,GRP
207,70838, he drunk crazy man,OFF,TIN,IND
208,64577,                honored to be included with all these fine patriots  thank you rena  maga  dean   ,NOT,,
209,44448, please shut ontario seeing conservatives stand  helping loose province never going anywhere not way completely tune canadian mr harper oops i mean mr scheer common mistake much alike,NOT,,
210,53928, you alone i sexually assaulted fellow law student  i never reported i think i would believed however something happened made realize i victim then i felt id made colossal mistake,NOT,,
211,45337, but liberals do,NOT,,
212,85707, another terrorist attack reported msm,NOT,,
213,63292, dont know imma ,NOT,,
214,15991, all money made u smarter,OFF,TIN,IND
215,25009, yes he gilmer it makes laugh much,NOT,,
216,90990, u r lifeline ,NOT,,
217,65785, always thought h ford level headed guy guess not note ford climate change summerfall winterspring happens every year get it,NOT,,
218,38837, yeah need made bullshit protestors antifa lol time epic beatdown,OFF,UNT,
219,94182,  unfortunately right keep real she assault weapon,NOT,,
220,77653, she real rocky  oh my god ,NOT,,
221,27238, thank everyone making possible amazing beautiful bears im member olivers army i appreciate everything make lives better,NOT,,
222,12892, yeah got everything sorted needed sorted still taking small sips wine unusual emily guessed jj wouldnt profile,NOT,,
223,16885, by way dont move haiti  you liberals seem make shit holes large cities so go somewhere its already shit hole dont work ,OFF,TIN,GRP
224,46581, yes,NOT,,
225,41517,   he tried went nowhere hes  pro gun control done,NOT,,
226,22717,     he could killed many hunting rifle time vantage had he close hour police entered room his actual shooting  min making gun control going get people killed we need smarter,NOT,,
227,88539,  aha yes i see that the individual sense needing belong winning team constant conditioning selfdevaluation i see strong sense q side lefthillaryantifa side well regardless think theyre winning not,NOT,,
228,65786,  oh i know i know talking i see tweet repling lol,NOT,,
229,54437, and another demonstration gun free zones dont work brought liberal likely supports stricter gun control,NOT,,
230,19514,shouldnt pussy grabbing  one wearing gloves handling food maga ,OFF,TIN,IND
231,57943, you plan environment even conservatives able understand able live planet make money there,NOT,,
232,66328,  this happens tell white liberals get congratulate woke put money mouth is that simple fact life breaks brains,NOT,,
233,34317,            antifa beat facsists try get change mind  know lost cause try change fascists mind they scare hiding demoralize them stop spread hateful ideology there forcing views others,OFF,TIN,IND
234,44837,  soros root everything anything anti american he money hollywood way islam antifa illegals  ,NOT,,
235,36289,firemorningjoe cut cloth conservatives his misogyny bigotry always display he responsible trump ,OFF,TIN,GRP
236,80570,  truly got idiotic thing ive ever seen,OFF,UNT,
237,43185,  brigitte gabriel experienced life would nightmares from she sounding alarm americans buy book pay attention warning america,NOT,,
238,86477,         it work if want control population australian gun control effect homicides,OFF,TIN,OTH
239,67080,  poor baby,NOT,,
240,96270,    antifa  democrats  dixiecrats  kkk  ,NOT,,
241,44015,  liberals ruin everything,OFF,TIN,GRP
242,48060,   and forget telling primarily black liberal audience conservatives want put back chains,NOT,,
243,31065, sad both to exploited also reputation destroyed now ive read shes part antifa ,NOT,,
244,11411, thats happens let liberal get hold gun that would good place start gun control ban liberals getting guns,OFF,TIN,GRP
245,10133,  you look happy maga,OFF,TIN,IND
246,22128,   trump proposes racial profiling tactic to start thinking about ,NOT,,
247,36518, introducing sweet sweet baby king he always sooo nice and i try sit sofa never attacks me ,NOT,,
248,59559,   there gone tho inputed bottom top first seconds tweet  you good  tmart ,NOT,,
249,99618,  exactly he record basically saying president law it noted gop fine this rudy issues ,NOT,,
250,53309,kamalaharris the new dem emperor no clothes taxpayers funded unprecedented armed protection gun control sen kamala harris  via ,NOT,,
251,29497, yet fat herself,OFF,TIN,IND
252,84329,  there plenty evidence guilty hill accused since conf hearings guiltyinnocence got bench times diff now why journalist call white supremacyaltright antifa pick ,NOT,,
253,50315,  you dont understand capablities despite proof economy my hypothesis lied liberals entire life believing told the liberal media made bill clinton look good could trump,NOT,,
254,97959,oath must subpoenaed testify there lifetime appointment stake here please right time amp allow orrin hatch already made mind lying allowed question her his kind questions could invite lawsuit,NOT,,
255,66524,  yall best,NOT,,
256,97300,   what joke she gem alright she racist phony right along racist phony that thinks follow second account and block me because i speak truth i could care less followers like big party i care discriminate ,OFF,TIN,IND
257,12919, indeed is,NOT,,
258,40855,   because im little concerned q followers slowly become sort right wing sjw antifa thingie also excuse horrible english native languase much schooling im sorry sucks ,NOT,,
259,84100, yep antifa literally hitler,NOT,,
260,21270, wow hot ,NOT,,
261,41818, deserving woman happy ,NOT,,
262,12435,    ive noticed lot conservatives thoroughly disingenuous engaging twitter,NOT,,
263,14808,   may forgotten moment eu citizens rights afforded us eu citizens dont believe shit goes head,OFF,TIN,GRP
264,82579,  thats modelling plenty women make shit tons money looking good,NOT,,
265,84523,just watching horizon show scientists discovered dna mix humans neanderthalswould thought trump getting elected would proof enough maga,NOT,,
266,61917,  i hope way watch tv ted spanking liberals always enjoyable,NOT,,
267,33322,  just looked work history listed board leading age services aust lasa comes medicare local alliancewhat ever hell,OFF,UNT,
268,79251, he look mirror,NOT,,
269,42540, im sure is ,NOT,,
270,13881,  send  party manifesto promised help families maybe remind duties hostileenvironment priceonlove skypefamilies    ,NOT,,
271,70402,    families separated border in fact picture children cages liberals using show evil trump actually taken obama president,NOT,,
272,83462,  but antifa people,NOT,,
273,87206,  we peoples vote  june  the people rejected craven  worship stand  majority m youre contemptuously defying people amp   ge manifesto amp supporting soros undermining democracy instead,NOT,,
274,87300, cause bitches playing  god aint give gift nothing,OFF,TIN,GRP
275,54125, free bird return muslim homeland,NOT,,
276,75848,mom speaks phone compose text brother angry yells phone telling type like brother able tell even yelling ,NOT,,
277,14948,  melting snow flakes,NOT,,
278,66798, whos victim that remains seen liberals turned kavanaughs hearings circus first minute started,NOT,,
279,80497, coming man threatened try kick turmps ass take set balls,OFF,TIN,IND
280,38561,  youre shocked hear liberals want centralize power federal level,NOT,,
281,55203,  he is best of the best,NOT,,
282,31776,whatilearnedtoday liberals cant win without lying,NOT,,
283,60916, fast furious holder lol,NOT,,
284,97277, getting scared ugly man,OFF,TIN,IND
285,63113, one shows progressive i stand watch he dislikes right left evenly know right start if never seen show check youtube insightful  maga,NOT,,
286,59721, he not supreme court worthy,NOT,,
287,53839, god i hope not ,NOT,,
288,15616,   yes,NOT,,
289,95200,     bitch ,OFF,UNT,
290,77769,amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests,OFF,TIN,IND
291,65790, i cant prove causation either conservatives cda surely love idea   bashing pm  cant help think theyre also egging former continue bashing boost fortunes vainly ,NOT,,
292,48548,  republican men picture   men age law makers old sorry young republicans like young conservatives born  years age,NOT,,
293,83751,   liberals cant meme they sense humor knowledge memeing philosophy,NOT,,
294,62541,  stunning,NOT,,
295,62107, yea bitch right getting smacked ,OFF,UNT,
296,18474, why focus proud boys i know real journalist kelly focus ones violence antifa if want story focus journalists leftist activists constantly ignoring antifas attacks people,NOT,,
297,33096, hahaha big thighs going make,OFF,TIN,IND
298,22879,    its called educating liberals,NOT,,
299,81470,maga christineford trump tcot ccot americafirst patriots  brettkavanaugh say bill clinton whitewater its imperative make pattern revolting behavior clear  piece painful piece indeed ,OFF,TIN,IND
300,20322,maga people low iq gdp growth means literally nothing in way translate higher income white familes individuals all billions goes companies government and jobs create labour pays less living wage lmao ,OFF,TIN,IND
301,26694,  if you wonna get paidpick energy people scream shout like youre kavanaugh hearing ,NOT,,
302,60130, bro go watch hold backwood interview like shit irritating lmao nigga mad suspicious,OFF,TIN,IND
303,54559,a bitch built like could beat ass wants ,OFF,TIN,IND
304,34961,        trash,NOT,,
305,14285,  very pathetic man ,OFF,TIN,IND
306,25012,   she new psychology thinker think religion aggressive thought deeply think hinduism ,NOT,,
307,19121, shouldve played saint marie instead london docks saint ass ,NOT,,
308,61272, thank goodness mn passive aggressive love it,NOT,,
309,25360,  we empty prisons also say broke lawsliberal logic,NOT,,
310,56949,  she angel much love her,NOT,,
311,34893,  for what why asking arrest liberals butthurt  months impeachable offense,NOT,,
312,90958,  the tolerant left,NOT,,
313,42133,      you must talking hateful conservatives,OFF,TIN,GRP
314,18834,  thats correct maga,OFF,TIN,IND
315,12741,    show single case antifa actually murdered someone because far right murdered someone charlottesville  hypocrisy works ways,NOT,,
316,42528, if bobby fit thats exactly would say sure,NOT,,
317,29300, the white people thank jesus republicans amp excrackheads  say americahating liberals christians many exdems thank jesus too amp many former emmys watchers we thank jesus daily country  amp ability turn you off ,NOT,,
318,14850, does skip realize saying become professional tweeter kind shitting sports casters how many td receptions skip year,NOT,,
319,38043,   this leftist wrong liberal colleges more ppl students come unmask corrupt woman determined destroy good judge wants liberals courts   ,OFF,TIN,IND
320,40340,    she feeling touch first time,NOT,,
321,76709,    this great mark the great one levin candace the great owens together this team unbeatable they sent liberals frenzy again a whole block liberal voters heads explode andsadly alyssa milano wet pants again great team,OFF,TIN,GRP
322,22728, stratadata ai data hairball  tdavis touring application cognitive machinelearning techniques speed governance data ,OFF,TIN,GRP
323,14037,   you grossly misinterpreting this people across parties condemn action look bill davis brian mulroney see even conservatives think horrible decision,NOT,,
324,11640,    i proposing scare tactics i really meant i said trump easily pull good maga republicans easily steal enough votes gop dem independents bring fresh breath rotten politics think it,OFF,TIN,IND
325,47009,    only liberal would support liberal spent million get liberals elected office libfail ,OFF,TIN,GRP
326,90912, notice everyone avoids tweet  they might think referring them  but comrade i stalk everyone ,NOT,,
327,97936, its weirdly vicious bitter extrapolate everyone access decent healthcare liberals think criminals free it reveals pretty brutalist impenetrable mind,OFF,TIN,GRP
328,12531, what fuck game watching,OFF,UNT,
329,61448, he grown up,NOT,,
330,23853,health amp nature threat uk us  ,NOT,,
331,58454,  why kavanaugh need terms guilty people ones need terms let clue in theyre worried going make terrible impression believable theyre trying manage concern,NOT,,
332,63262,   dont perpetuate colonialism if going talk puertorico must puerto ricans panel jeezuzfuckingchrist how difficult be disporaenresistencia ,NOT,,
333,13136,an anonymous message antifa q qanon thegreatawakening commieclowns resistancerises resistance ,NOT,,
334,74670, antifa place society,NOT,,
335,45111,  two votes home west texas stoked him he inspiring he this,NOT,,
336,72024, why why liberals trashy,OFF,TIN,GRP
337,11405, grape,NOT,,
338,90605, hello somebody need hyukjae now she is in danger by watching your fancams,NOT,,
339,28728, he never show much intelligence,NOT,,
340,98547, yes i saw i say tapper kept basket kept coming back stupid answers and finally gave i dont think big fan policies hes stupid please,OFF,TIN,IND
341,98382, if go anything fucked head,OFF,TIN,IND
342,80430, are sure wast thinking herself,NOT,,
343,68007,  its guy guy looks like sheila qanon maga greatawakening crocodile dundee ,NOT,,
344,88809,   heres problemif go back fast furious proof atf looking influence gun control us it may preposterous government would fake sandy hook facilitating drug war somewhat similar,NOT,,
345,71577, all need know empty inside,OFF,TIN,IND
346,15863, oh dear im sorry migraine i well sending prayers you ,NOT,,
347,11918, my sister far she kindest sweetest person alive use grandma passed may that woman saint even song written her my moms saint written children course ,NOT,,
348,17391, the liberals mentally unstable,OFF,TIN,GRP
349,34443,  who authorized search warrant mr jean home racist drug test this premediated murder he slandered he victim,OFF,TIN,IND
350,87904, what would line putz know conservatives think,NOT,,
351,19732, dude why r u trolling ash rock z  he guy just hurry see bjp govt state,NOT,,
352,52972,  shes said always praying even tho cant anything im sure heart broken well events,NOT,,
353,20800,   which one it is active threat could shot driving need gun control or idea threat exists hypothetical i excuse carry big scary gun,NOT,,
354,39866, get life,NOT,,
355,18348, containers hurricane donations found rotting puerto rico parking lot ,NOT,,
356,61093,           followed all fantastic maga patriots  look forward following back thank amp wonderful day ,NOT,,
357,75384, the suicide rate america similar countries strict gun controlthey use  uk jumping cliffs bridges common method,NOT,,
358,68664, are joining antifa,NOT,,
359,90705,  apparently durbin amnesia,NOT,,
360,83290, canada regulated firearms since last quarter th century those laws probably contributed canada  many handguns circulation us ,NOT,,
361,22185,   heard making waves,OFF,TIN,IND
362,13257, its anita hill versus clarence thomas again i hope confirmation process end result maga ,NOT,,
363,90575,  boi,NOT,,
364,37630,rd time teacher career ive parent tell heshe praying me i always consider win  teacherlife prayalloftheprayers ,NOT,,
365,51377, welcome whysjamescryin,NOT,,
366,51635,  funny watching liberals sudden  transparent warner problems leaks now truth issues its over some people big trouble warner likely one them,NOT,,
367,14407, brown like,NOT,,
368,87366,           you ladies always make smileif know i mean ,NOT,,
369,77089,thursdaythoughts fuck liberals forever,OFF,TIN,GRP
370,27974, did scalp custer ,NOT,,
371,79972, once proven gun control laws intended disarm law abiding citizens subvert a criminal dont care gun laws,OFF,TIN,GRP
372,38981,    nothing abusive ever done anyone including women people country putting horrible stress worrying going do this easy no says is and i agree gabby,NOT,,
373,30085,  mxm nigger thinks give fuck ,OFF,TIN,IND
